object,token_strategy,hidden_state_layer,loss,NN_test_score,SVM_test_score
main,consistent,10,1.6243767738342285,0.20800000429153442,0.184
main,consistent,11,1.61497163772583,0.1940000057220459,0.18
main,consistent,12,1.6153920888900757,0.1940000057220459,0.182
main,max_image,10,1.622713327407837,0.18400000035762787,0.226
main,max_image,11,1.6037763357162476,0.21799999475479126,0.198
main,max_image,12,1.6094295978546143,0.20600000023841858,0.222
main,max_obj,10,1.6115608215332031,0.20600000023841858,0.204
main,max_obj,11,1.61859130859375,0.1860000044107437,0.2
main,max_obj,12,1.6144945621490479,0.1720000058412552,0.178
main,min_obj,10,1.8901971578598022,0.1899999976158142,0.202
main,min_obj,11,1.6384373903274536,0.19599999487400055,0.206
main,min_obj,12,1.616002082824707,0.20600000023841858,0.21
main,random_obj,10,1.6264598369598389,0.18199999630451202,0.192
main,random_obj,11,1.6184954643249512,0.2240000069141388,0.206
main,random_obj,12,1.614470362663269,0.21199999749660492,0.184
second,consistent,10,1.5813462734222412,0.27000001072883606,0.288
second,consistent,11,1.560121774673462,0.28600001335144043,0.284
second,consistent,12,1.54380464553833,0.29600000381469727,0.288
second,max_image,10,1.6310185194015503,0.20000000298023224,0.226
second,max_image,11,1.6144720315933228,0.1860000044107437,0.198
second,max_image,12,1.6123652458190918,0.17599999904632568,0.222
second,max_obj,10,1.5756126642227173,0.3100000023841858,0.294
second,max_obj,11,1.5928955078125,0.2879999876022339,0.28
second,max_obj,12,1.5458472967147827,0.28999999165534973,0.306
second,min_obj,10,1.6303012371063232,0.3059999942779541,0.292
second,min_obj,11,1.5631394386291504,0.29600000381469727,0.298
second,min_obj,12,1.5585802793502808,0.3140000104904175,0.294
second,random_obj,10,1.5399322509765625,0.30399999022483826,0.314
second,random_obj,11,1.5510954856872559,0.2919999957084656,0.29
second,random_obj,12,1.5492702722549438,0.28999999165534973,0.296
